listing_id,date
8739,2014-04-29
8739,2014-05-06
8739,2014-05-09
8739,2014-05-11
8739,2014-05-16
8739,2014-05-19
8739,2014-05-24
8739,2014-05-30
8739,2014-06-06
8739,2014-06-16
8739,2014-06-19
8739,2014-06-22
8739,2014-06-23
8739,2014-06-29
8739,2014-07-02
8739,2014-07-07
8739,2014-07-14
8739,2014-07-23
8739,2014-07-25
8739,2014-07-29
8739,2014-08-01
8739,2014-08-02
8739,2014-08-03
8739,2014-08-06
8739,2014-08-08
8739,2014-08-11
8739,2014-08-12
8739,2014-08-15
8739,2014-08-16
8739,2014-08-17
8739,2014-08-18
8739,2014-08-21
8739,2014-08-25
8739,2014-08-29
8739,2014-08-30
8739,2014-09-03
8739,2014-09-08
8739,2014-09-10
8739,2014-09-13
8739,2014-09-19
8739,2014-09-20
8739,2014-09-23
8739,2014-09-27
8739,2014-09-30
8739,2014-10-05
8739,2014-10-09
8739,2014-10-11
8739,2014-10-13
8739,2014-10-16
8739,2014-10-17
8739,2014-10-20
8739,2014-10-26
8739,2014-11-04
8739,2014-11-09
8739,2014-11-12
8739,2014-11-16
8739,2014-11-19
8739,2014-11-24
8739,2014-12-01
8739,2014-12-12
8739,2014-12-19
8739,2015-01-02
8739,2015-01-09
8739,2015-01-14
8739,2015-01-26
8739,2015-01-30
8739,2015-02-09
8739,2015-02-16
8739,2015-02-23
8739,2015-02-27
8739,2015-03-03
8739,2015-03-04
8739,2015-03-05
8739,2015-03-10
8739,2015-03-21
8739,2015-03-22
8739,2015-04-01
8739,2015-04-11
8739,2015-04-12
8739,2015-04-17
8739,2015-04-24
8739,2015-04-28
8739,2015-05-02
8739,2015-05-08
8739,2015-05-10
8739,2015-05-15
8739,2015-05-19
8739,2015-05-20
8739,2015-05-23
8739,2015-05-24
8739,2015-05-29
8739,2015-05-30
8739,2015-06-02
8739,2015-06-14
8739,2015-06-19
8739,2015-06-21
8739,2015-06-23
8739,2015-06-24
8739,2015-06-29
8739,2015-07-01
8739,2015-07-03
8739,2015-07-06
8739,2015-07-19
8739,2015-07-23
8739,2015-07-25
8739,2015-07-26
8739,2015-07-27
8739,2015-08-03
8739,2015-08-04
8739,2015-08-07
8739,2015-08-08
8739,2015-08-14
8739,2015-08-21
8739,2015-08-22
8739,2015-08-24
8739,2015-08-27
8739,2015-09-01
8739,2015-09-05
8739,2015-09-07
8739,2015-09-12
8739,2015-09-14
8739,2015-09-18
8739,2015-09-20
8739,2015-09-23
8739,2015-09-26
8739,2015-10-05
8739,2015-10-08
8739,2015-10-14
8739,2015-10-17
8739,2015-10-19
8739,2015-10-20
8739,2015-11-04
8739,2015-11-07
8739,2015-11-12
8739,2015-11-13
8739,2015-11-15
8739,2015-11-17
8739,2015-11-23
8739,2015-12-04
8739,2015-12-06
8739,2015-12-11
8739,2015-12-13
8739,2015-12-15
8739,2015-12-18
8739,2015-12-28
8739,2016-01-05
8739,2016-01-09
8739,2016-01-17
8739,2016-01-25
8739,2016-01-29
8739,2016-01-30
8739,2016-02-11
8739,2016-02-15
8739,2016-02-19
8739,2016-02-26
8739,2016-02-28
8739,2016-03-02
8739,2016-03-03
