id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12049839,EasyLife,18788982,Giovanni,,De Baarsjes - Oud-West,52.36722001437475,4.870207422521473,Private room,80,1,0,,,1,0
16876655,Room near the city center,18202623,Arnaud,,De Baarsjes - Oud-West,52.37387964436076,4.861930952653018,Private room,70,2,2,2017-03-26,0.94,1,4
9292601,Modern,5020644,Jeroen,,De Baarsjes - Oud-West,52.37231186088766,4.850489944885652,Entire home/apt,110,1,22,2017-03-20,1.29,1,216
9880410,Spacious bedroom and livingroom,16838987,Lidwien,,De Baarsjes - Oud-West,52.36325538635159,4.877404341207827,Private room,130,1,0,,,3,0
11580852,Central located house with garden in Hip West area,60909308,Ernestine,,De Baarsjes - Oud-West,52.36571503269052,4.864126211677157,Entire home/apt,90,2,9,2017-03-15,0.71,1,12
13925388,"Cozy appartement in Amsterdam, vlakbij de metro",46171946,Gererd,,Bijlmer-Oost,52.31799575944555,4.979164018855348,Entire home/apt,55,2,38,2017-03-20,4.37,1,253
14117599,"Pop B&B - free parking, sauna, terraces canal view",36070529,Adriana,,Bijlmer-Oost,52.321545713921346,4.960180647721977,Private room,40,1,8,2017-04-01,1.70,1,340
7303805,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32211295081488,4.9626411051784975,Private room,45,1,7,2015-09-10,0.34,2,0
14276081,Nice Studio next to the metro station,87067308,Renata,,Bijlmer-Oost,52.317547347266796,4.980948182496079,Entire home/apt,70,2,10,2017-03-05,1.30,1,9
13163805,Best cost benefit room near a metro station,35491461,Phillip,,Bijlmer-Oost,52.31563541152141,4.978166362035691,Private room,70,1,22,2017-03-26,2.24,1,24
15718431,"Max 5pple private room, 15mins to Centrum by metro",11046682,Luuly,,Bijlmer-Oost,52.32300470703711,4.976624503664845,Private room,30,1,2,2017-02-10,0.53,2,103
14967001,Arena Stadion BnB,94255410,Arenastadion,,Bijlmer-Oost,52.323239136759426,4.962712644723797,Private room,50,1,20,2017-03-13,3.05,1,134
16445806,Budget Apartment close to city center Amsterdam,107862516,Lars,,Bijlmer-Oost,52.32464558624637,4.975128369714798,Entire home/apt,70,3,0,,,1,63
15886823,Green oasis in Amsterdam for 2 or 1,47499392,Ingrid,,Bijlmer-Oost,52.32046543052964,4.986541823698673,Private room,40,1,2,2017-03-16,1.02,6,261
17446031,"2-bedroom apartment, 15mins to Ams Centre by metro",11046682,Luuly,,Bijlmer-Oost,52.32124796006184,4.978588037114794,Entire home/apt,142,1,0,,,2,80
16546301,"PRIVE Studio, AFAS, ZIGGOdm, ArenA",47501089,Mariah,,Bijlmer-Oost,52.31526767476713,4.982268690953537,Entire home/apt,69,1,11,2017-03-15,3.71,5,2
7303459,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32100583630295,4.961115220537148,Private room,42,3,2,2016-07-23,0.23,2,0
14967582,Amsterdam Zuidoost BnB,94260359,Amsterdam,,Bijlmer-Oost,52.32222508036057,4.964297763439654,Private room,50,1,16,2017-01-22,2.40,1,114
7627532,Open space Apartment 60m2,40012237,Max,,Bijlmer-Oost,52.32555562271999,4.97701265686965,Entire home/apt,99,4,5,2017-02-01,0.43,1,334
15753136,"Your second home in Amsterdam - visit ""The Pearl""!",101828420,Eric,,Bijlmer-Oost,52.322056956565675,4.981409644315861,Private room,59,1,11,2017-03-26,2.34,1,120
17606679,spacious apartment with a free parking,75847885,Mario,,Bijlmer-Oost,52.321771956809954,4.977301466233435,Entire home/apt,70,2,1,2017-03-29,1,2,27
5957043,Cosy apartment for 2-4 people,30922450,Alex,,Bijlmer-Oost,52.321135439420914,4.965789107853608,Entire home/apt,80,4,6,2016-08-07,0.26,1,0
3204444,Two story family house with garden.,16237594,Remco,,Bijlmer-Oost,52.31288905970509,4.980151236699917,Entire home/apt,90,5,2,2014-08-06,0.06,1,0
3905287,B&B# green oasis with free parking,16567328,Thea,,Bijlmer-Oost,52.319784253576934,4.962587247424782,Private room,59,1,94,2017-03-27,2.96,1,157
16426363,Kl. schönes sauberes Zimmer,107684763,Petra,,Bijlmer-Oost,52.32208137045889,4.976243649419581,Private room,90,1,2,2017-03-26,0.65,3,172
7131573,"Bright room, green park, arty flat!",30039084,Christiaan,,Bijlmer-Oost,52.32466336358793,4.9744728650035555,Private room,50,1,76,2017-03-26,3.58,1,0
15373287,Comfy room in Amsterdam Zuid Oost!!,98208257,Nihaila,,Bijlmer-Oost,52.32375392161007,4.968984909007188,Private room,45,1,3,2016-11-27,0.56,1,0
16426076,Zimmer in Amsterdam 25 min zur City,107684763,Petra,,Bijlmer-Oost,52.32305787115017,4.977671258478087,Private room,85,1,0,,,3,136
14307719,Big & Modern Apartment Amsterdam,87437831,Ari,,Bijlmer-Oost,52.317718246630264,4.978720764905557,Entire home/apt,98,3,13,2017-02-25,2.06,1,236
16219344,Wonderful room near metro&Center 3,65918622,Hellen,,Bijlmer-Oost,52.31811049825291,4.978222750364706,Private room,59,1,24,2017-03-16,6.43,5,139
10670670,Luxery apartment near metro,54165843,Carvalho,,Bijlmer-Oost,52.31637788819628,4.982909355307574,Entire home/apt,130,5,0,,,1,0
15880862,Ajax BnB lovely house in Amsterdam Zuidoost,102976828,Ajax,,Bijlmer-Oost,52.3227700272277,4.962173336183298,Private room,50,1,3,2016-12-19,0.71,1,131
17587228,spacious apartment with a free parking,7679356,Mario,,Bijlmer-Oost,52.32321717415073,4.979045263307712,Entire home/apt,80,2,0,,,1,95
